wikidata_id,item_title,country
Q1191932,0verflow,
Q4545742,1-2-3,Norway
Q4545758,1-800 Contacts,United States of America
Q4545749,1-800-FREE-411,United States of America
Q4545754,1-800-GOT-JUNK?,
Q4546947,10 feet,
Q23680145,123-reg,United Kingdom
Q4548303,123RF.com,
Q4549949,14 Reels Entertainment,
Q4553723,1800 Tequila,
Q4595694,19 Entertainment,
Q4561171,1922 Committee,
Q77202,1C Company,Russia
Q4595888,1Malaysia Development Berhad,
Q4596266,1st Central,
Q4596659,1st Valley Bank,
Q2593902,1worldspace,
Q4633317,2 Entertain,
Q4633365,2 Player Productions,United States of America
Q4633377,2 Sisters Food Group,
Q307894,2(x)ist,
Q212076,"2015, Inc.",United States of America
Q2084961,20th Century Fox Home Entertainment,United States of America
Q4631061,21st Century Film Corporation,
Q4631070,21st Century Insurance,United States of America
Q216272,23andMe,United States of America
Q4631823,24 7 inc,United States of America
Q4631849,24 Hour Fitness,United States of America
Q4632862,2929 Entertainment,
Q4633117,2GO,
Q4633222,2Spot Communications,
Q4633233,2U,
Q4633246,2Wire,United States of America
Q4633463,2degrees,New Zealand
Q2345853,2waytraffic,
Q407009,3 (telecommunications),
Q4635001,32Red,
Q10846067,361 Degrees,People's Republic of China
Q16833256,37coins,United States of America
Q2364173,37signals,United States of America
Q229329,3Com,United States of America
Q18636339,3D Robotics,United States of America
Q4636301,3D Systems,United States of America
Q229377,3Dconnexion,
Q229401,3Dlabs,
Q609766,3G Capital,United States of America
Q229698,3dfx Interactive,
Q2816475,3dvia,
Q4636612,3i Infotech Limited,
Q4639036,4 Digital Group,
Q4639059,4 Lions Films,
Q2979800,40/40 Club,United States of America
Q2474700,454 Life Sciences,
Q4638513,47 Street,Argentina
Q4638923,4Kids Productions,
Q28134540,4moms,
Q21015593,500 Startups,United States of America
Q2068658,505 Games,
Q4641200,5by5 Studios,
Q2526471,5pb.,Japan
Q4641742,6126,United States of America
Q4642479,6WIND,France
Q4643844,7 Days Inn,
Q270013,7 for all Mankind,
Q4642871,7-Eleven Speak Out Wireless,United States of America
Q10846179,759 Store,
Q270077,7digital,
Q2818443,7th Magnitude,
Q1154833,81 Produce,
Q4644779,84 Lumber,United States of America
Q4644852,85C Bakery Cafe,
Q274372,888 Holdings,
Q16242469,888poker,
Q22681036,888sport,
Q3459752,8tracks.com,
Q4645515,8x8,
Q4646438,9 Story Entertainment,Canada
Q4646307,99 Ranch Market,United States of America
Q4646320,99p Stores,
Q4570714,@Home Network,
Q4646765,@stake,
Q16959753,A & R Recording,United States of America
Q300323,A Band Apart,United States of America
Q300324,A Bathing Ape,
Q4208011,A Legend Star Entertainment Corp.,
Q4658862,A Place for Mom,United States of America
Q83723,A&E Networks,
Q4646782,A&P Canada,Canada
Q4646786,A&R Cambridge Ltd,
Q2818848,A&W,Canada
Q4646800,A'PEXi,
Q4646799,A'Rosa Cruises,Germany
Q17985374,A-Grade Investments,
Q4646944,A-Square,United States of America
Q4647612,A. C. Gilbert Company,United States of America
Q4647719,A. E. Goodwin,Australia
Q4647749,A. F. Ferguson & Co.,
Q2748878,A. Film A/S,Denmark
Q4647781,A. G. Edwards,
Q16989173,A. H. Davenport and Company,
Q278779,A. J. Foyt Enterprises,United States of America
Q278880,A. Lange & Söhne,Germany
Q278905,A. Le Coq,Estonia
Q278346,A. M. Best,
Q4648219,A. O. Smith,United States of America
Q279170,A. Schulman,United States of America
Q4119347,A. T. Cross Company,
Q3609355,"A. Uberti, Srl.",
Q4647029,A.B. Dick Company,United States of America
Q4647052,A.C. Cossor,
Q546542,A.P.C.,
Q4647401,A.S. Watson Group,
Q178907,A.T. Kearney,
Q3491471,A.k.a. Cartoon,
Q16157155,A10 Networks,
Q279389,A123 Systems,
Q16248298,A24,
Q279978,A2A,Italy
Q4649094,A2Z Group,
Q286133,AAI Corporation,United States of America
Q16240666,AAPT Limited,Australia
Q4649932,AAR Corp,United States of America
Q286774,ABBYY,Germany
Q4650126,ABC Bank,
Q2819002,ABC Entertainment,United States of America
Q3600483,ABC Family Worldwide Inc.,United States of America
Q4650182,ABC Learning,Australia
Q14855774,ABC Owned Television Stations,
Q3347010,ABC Radio,
Q4650251,ABC Stores,United States of America
Q4650247,ABC Supply,United States of America
Q4650296,ABF Freight System,
Q4032875,ABLV Bank,Latvia
Q4650338,ABM Industries,United States of America
Q287471,ABN AMRO,Netherlands
Q579517,ABRSM,United Kingdom
Q5183537,ABS-CBN Cable Channel,
Q3268049,ABU Garcia,Sweden
Q26893,AC Cars,
Q5653536,AC Hotels,Spain
Q193481,AC Sparta Prague,Czech Republic
Q649343,ACC Limited,
Q288129,ACCO Brands,
Q288185,ACD Systems,
Q288170,ACDelco,
Q288285,ACE Limited,
Q4650685,ACI Worldwide,
Q4650699,ACL,
Q288484,ACMAT,
Q288603,ACNielsen,
Q18204835,"ACTIVE Network, LLC",United States of America
Q289795,ACeS,Indonesia
Q903943,ADAMA Agricultural Solutions,
Q352669,ADATA,
Q290159,ADC Telecommunications,United States of America
Q290316,ADINA,
Q166729,ADNOC,United Arab Emirates
Q16242566,ADS Securities,
Q4651203,ADTRAN,United States of America
Q290718,ADVA Optical Networking SE,Germany
Q290709,ADVFN,
Q4651259,AEA Investors,United States of America
Q4651261,AEBN,
Q2825507,AECOM,Germany
Q291508,AES Corporation,United States of America
Q4651373,AET,
Q15964411,AEgis Technologies,United States of America
Q292745,AG Vulcan Stettin,Germany
Q4651641,AGB Nielsen Philippines,
Q292292,AGCO,United States of America
Q4489332,AGEod,
Q292374,AGL Energy,
Q4651702,AGS Entertainment,
Q2466959,AGV,
Q293469,AIDA Cruises,Germany
Q278301,AJS,United Kingdom
Q71946,AK Steel Holding,United States of America
Q294205,AKG Acoustics,
Q4652177,"AKM Semiconductor, Inc.",
Q2819232,AKOM,
Q4652189,AKQA,
Q2066268,ALCO RS-3,
Q4652302,ALCO Stores,United States of America
Q2832297,ALDO Group,
Q917701,ALFA Group,
Q12239138,ALJ,
Q5028003,ALS Limited,Australia
Q295481,AM General,United States of America
Q4652695,AMP Capital,
Q295261,AMP Limited,Australia
Q295280,AMR Corporation,United States of America
Q16974949,AMRI Global,United States of America
Q4652714,AMResorts,
Q4652764,AMZ-Kutno,Poland
Q295611,ANAS,
Q26924,AND1,United States of America
Q295671,ANEK Lines,
Q4653060,ANTA Sports,
Q295780,ANTEL,Uruguay
Q20311383,ANX,
Q295862,ANZ Bank New Zealand,Australia
Q643271,AOC International,
Q4653137,AOL Broadband,
Q4653155,AOL TV,
Q296053,AOpen,
Q4653260,APCO Worldwide,
Q17108323,API Healthcare,
Q296174,APL Logistics,
Q4653345,APM Terminals,
Q4653431,APT Entertainment,
Q4653518,AQR Capital,
Q304769,ARCO,United States of America
Q4653685,ARGO,
Q296625,ARGO SpA,
Q4653724,ARIAD Pharmaceuticals,United States of America
Q296654,ARINC,
Q296782,ARM Holdings,United Kingdom
Q296878,"ARP Instruments, Inc.",
Q16149065,ARY Films,
Q4654057,ASARCO,
Q297214,ASB Bank,
Q15213921,ASBIS,
Q1469961,ASC Games,United States of America
Q297303,ASCII Corporation,
Q297315,ASCII Media Works,Japan
Q25054159,ASE Group,Taiwan
Q297600,ASELSAN,Turkey
Q327247,ASICS,Germany
Q2478569,ASM International,Netherlands
Q297879,ASML Holding,Netherlands
Q2084143,ASN Bank,
Q211951,ASOS.com,United Kingdom
Q16962263,"ASP, Inc.",United States of America
Q297996,ASR Nederland,
Q93894,ASRock,
Q4654350,ASSOCHAM,
Q3268043,AST Research,
Q152864,ASUS,Taiwan
Q35476,AT&T,United States of America
Q4654504,AT&T Alascom,United States of America
Q4654507,AT&T Broadband,
Q4654522,AT&T Communications,United States of America
Q4654544,AT&T Labs,United States of America
Q2880934,AT&T México,Mexico
Q4654554,AT&T Technologies,
Q16962406,AT&T Wireless Services,United States of America
Q4745219,ATA is not fun,United States of America
Q298762,ATB Financial,
Q4054103,ATB-Market,
Q4654592,ATCO,Canada
Q213849,ATI Technologies,Canada
Q3601318,ATK motorcycles,
Q4654744,ATN,Australia
Q28222845,ATTN:,
Q300120,AU Optronics,Taiwan
Q2666461,AUTOart,
Q2266483,AVG Technologies,Netherlands
Q300157,AVL (engineering company),Austria
Q300164,AVM,Germany
Q3523697,AVM Productions,
Q4655072,AVX Corporation,United States of America
Q4655090,AWAS,
Q4655171,AXA Equitable Life Insurance Company,United States of America
Q16983393,AXA PPP healthcare,United Kingdom
Q28230873,AXIOS Media,United States of America
Q16836218,AXIS Capital,
Q16243325,AXS,
Q4655251,AZLK,Russia
Q2819999,Aalberts Industries,
Q2820005,Aamir Khan Productions,
Q17509324,Aamra Companies,Bangladesh
Q301141,Aareal Bank,Germany
Q10397786,AarhusKarlshamn,Denmark
Q10397787,"Aaron's, Inc.",United States of America
Q4662619,Aarong,
Q4662646,Aarti Industries,
Q4662716,Aashirvad Cinemas,
Q4662814,Aavin,
Q4662989,Ab Initio,
Q4663181,Abacus Federal Savings Bank,United States of America
Q9598744,Abanca,
Q26823,Abarth,Italy
Q14662364,AbbVie,United States of America
Q305786,Abba Seafood,
Q4663969,Abbey,United Kingdom
Q4664168,Abbingdon Music Research,
Q4664196,Abbot Group,United Kingdom
Q306764,Abbott Laboratories,United States of America
Q4664502,Abcam,United Kingdom
Q2821435,Abdulla Fouad Group of Companies,
Q12218555,Abdullah AlOthaim Markets,
Q318128,AbeBooks,Germany
Q319039,Abengoa,Spain
Q2821553,Abengoa Solar,
Q319344,Abercrombie & Fitch,United States of America
Q319468,Aberdeen Asset Management,
Q4666923,Aberdeen Group,
Q319730,Abertis,Spain
Q4667884,AbioMed,United States of America
Q2819014,Abir Congo Company,
Q322379,Ableton,Germany
Q4668104,Ablynx,Belgium
Q4668566,Abound Solar,United States of America
Q2821786,AboveNet,
Q4668703,Abraaj Capital,
Q3603767,Abraham & Straus,United States of America
Q4669411,Abrams Books,United States of America
Q4669505,Abraxis BioScience,
Q17080237,Absoft Fortran Compilers,
Q4669798,Absolute Taste,
Q4669994,Abt Electronics,
Q202468,Abt Sportsline,Germany
Q4670123,Abu Dhabi Commercial Bank,
Q4670132,Abu Dhabi Gas Industries Limited,
Q334956,Abu Dhabi Investment Authority,
Q4670139,Abu Dhabi Investment Council,
Q4670141,Abu Dhabi Islamic Bank,
Q334959,Abu Dhabi MAR,
Q4115940,Abu Dhabi Media,
Q4670151,Abu Dhabi National Hotels,
Q15177997,Abu Dhabi Ports Company,
Q16240669,Abu Dhabi United Group,
Q2405171,Abu Dhabi United Group,United States of America
Q4670840,Acacia Research,
Q4671041,Academa,
Q4671343,Academy Bus,United States of America
Q4671380,Academy Sports + Outdoors,United States of America
Q4671580,Acadia Pharmaceuticals,United States of America
Q2578125,Accel Partners,United States of America
Q338825,Accenture,Ireland
Q338906,Access,
Q4672418,Access Bank,
Q4672429,Access Communications,
Q338920,Access Industries,United States of America
Q76219,Accident Investigation Board Norway,Norway
Q339142,Acciona,Spain
Q339228,Acclaim Entertainment,United States of America
Q1131147,Acclaim Games,
Q1165626,Accoona,
Q212599,AccorHotels,
Q16058025,Accord on Fire and Building Safety in Bangladesh,
Q18636279,Accredo,
Q4672868,Accretive Health,United States of America
Q2822885,AccuWeather,United States of America
Q239233,Accuphase,
Q339794,Accuracy International,United Kingdom
Q4672919,Accurist,United Kingdom
Q4672981,Ace Hardware,United States of America
Q4673009,Ace Tone,
Q481778,Acer Inc.,Taiwan
Q294551,Acer Laboratories Incorporated,
Q1419453,Acerinox,Spain
Q4673833,Achmea,
Q14944944,Achronix,United States of America
Q4674255,Ackermans,
Q341828,Ackermans & van Haaren,
Q4674390,Acme Attractions,United Kingdom
Q4674391,Acme Brick,United States of America
Q4674393,Acme Fresh Market,United States of America
Q341975,Acme Markets,United States of America
Q4674406,Acme United Corporation,
Q3277165,Acne Studios,Sweden
Q4674493,Aconex,
Q4674531,Acorda Therapeutics,United States of America
Q342149,Acorn Computers,
Q4674554,Acorn Media UK,
Q4674596,Acosta Sales & Marketing,
Q4674630,Acoustic Control Corporation,
Q4674655,Acoustic Research,
Q3604619,Acqua Minerale San Benedetto,
Q2056628,Acqua di Parma,
Q4674765,Acquia,
Q4059809,Acron Group,Russia
Q342813,Acronis,Germany
Q4676621,Act III Broadcasting,
Q343204,Actavis,Ireland
Q240333,Actel,
Q343217,Actelion,Switzerland
Q15378672,Actian,United States of America
Q343276,Actimel,
Q2634111,Action,
Q16058051,Action Group,
Q4677113,Action Lab Comics,
Q4677436,Actions Semiconductor,
Q4677442,Actis Capital,
Q4677446,ActivIdentity,
Q4677501,Active Duty,
Q4033362,ActiveState,
Q344642,Acuff-Rose Music,
Q4677870,Acuity Brands,
Q4677868,Acuity Insurance,
Q2823803,Acumatica,
Q2186354,Acumen Fund,United States of America
Q53097,Acura,
Q344839,Acushnet Company,United States of America
Q344935,Acxiom,United States of America
Q4678107,Ad Astra Rocket Company,United States of America
Q4678116,Ad Council,United States of America
Q345410,"Ad Lib, Inc.",
Q16825501,AdNear,
Q19599368,Adafruit Industries,
Q2823880,Adagio,
Q16001710,Adallom,
Q4678604,Adam & Eve,
Q348607,Adam Aircraft Industries,United States of America
Q350471,Adam Motor Company,
Q4680013,Adam and Company,
Q4680304,Adams Cable,United States of America
Q4680345,Adams Express Company,
Q4680354,Adams Golf,
Q4680631,Adani Group,
Q1852211,Adani Power,
Q352390,Adaptec,United States of America
Q4680692,Adapteva,United States of America
Q4680708,Adaptive Planning,United States of America
Q4680955,Adcole,United States of America
Q352773,AddThis,United States of America
Q4681022,Addax Petroleum,
Q16974220,Addepar,United States of America
Q4681264,Addison Lee,
Q353494,Adecco,
Q939808,Adeline Software International,
Q4682079,Adelphia Communications Corporation,United States of America
Q17985407,Adeptus Health,
Q3895,Adidas,Germany
Q4682711,Adidas Originals,
Q26832896,Adient,United States of America
Q4683045,Aditi Technologies,United States of America
Q357600,Aditya Birla Group,India
Q4683077,Aditya Music,
Q3605383,Admiral,United States of America
Q267417,Admiral Group,
Q4683689,Admiral Insurance,
Q4683720,Admiral Sportswear,
Q4683851,Adnams Brewery,
Q360119,Adobe Edge Animate,
Q384622,Adobe Flash Lite,
Q360450,Adobe Type Manager,
Q152858,Adscape,
Q378767,Adtranz,Germany
Q4686051,Advance Auto Parts,United States of America
Q4686069,Advance Internet,United States of America
Q4686116,Advanced American Telephones,
Q15013032,Advanced Armament Corporation,United States of America
Q379515,Advanced Digital Broadcast,
Q4686192,Advanced Electronics Company Limited,
